Title,Date,Link,Content
Singapore to switch to electronic bunker delivery notes next year,"October 5, 2022",https://splash247.com/singapore-to-switch-to-electronic-bunker-delivery-notes-next-year/,"It’s been a tough year for Singapore, the world’s largest bunkering hub, fighting extreme price volatility as well as one of the worst off-spec scandals in more than a decade. Authorities are taking action.
At this week’s major bunkering conferemce, Sibcon, the Maritime and Port Authority of Singapore (MPA) has announced plans to start registering sales of bunker fuel electronically over the next two years to improve efficiency and trade transparency and cut down on fraud.
The MPA will switch to electronic bunker delivery notes from physical documents next year, followed by a project to register oil flows digitally in 2024 using mass flow meters.
In March, Splash broke the story of a sprawling contaminated bunker scandal, which ultimately affected 200 ships, with the subsequent legal battles likely to run for years.
Chlorinated compounds were found in many samples of fuel sold by Glencore and PetroChina, resulting in damage to fuel injection pumps, injectors, filter elements and purifier systems with many ships breaking down.
The MPA ultimately laid the blame for the contamination outbreak on suppliers from the Middle East.
The fuel was traced back by the MPA to fuel purchased by Glencore in January and February this year. Glencore had purchased the fuel through Singapore-based Straits Pinnacle, which had contracted its supply from Unicious Energy. The contaminated HSFO was loaded at the Port of Khorfakkan in the United Arab Emirates (UAE) onto a tanker and shipped to floating storage facilities in Tanjung Pelepas, Malaysia to be further blended. The blended HSFO was subsequently delivered to storage facilities in Singapore.
Singapore’s swift, comprehensive action in the wake of the scandal breaking drew praise, as has its commitment to use mass flow meters to ensure the right volumes of fuel are actually delivered – a piece of technology very few other bunkering hubs have engaged with.
“Despite the bunkering industry’s scale and the essential role it plays in supporting global maritime trade, much of it is still steeped in old-fashioned, outmoded operational practices. There is a continuing lack of transparency in the way marine fuel is delivered. This has to change,” argued Kenneth Dam, global head of bunkering at TFG Marine, in a post on the company’s website this summer. TFG Marine is a joint venture between Trafigura and John Fredriksen founded two years ago. Dam urged other leading bunkering hubs to follow the lead of Singapore and get mass flow meters installed as soon as possible.
A recent Blue Insight study assessed bunker deliveries at Rotterdam and Fujairah, the world’s second and third largest bunkering ports. It concluded that reported VLSFO bunker volumes at these two locations resulted in $250m in operating losses for suppliers across 2021 with bunker buyers being severely short-changed on volumes.
TFG Marine, which wants mass flow metes to be made mandatory globally, has joined with 50 other industry participants representing 2,000 vessels to appeal to the Rotterdam and the Antwerp port authorities to follow Singapore’s lead and introduce mandatory mass flow meter delivery in their jurisdictions."
Stena Bulk joins project to demonstrate end-to-end shipboard carbon capture at scale,"October 5, 2022",https://splash247.com/stena-bulk-joins-project-to-demonstrate-end-to-end-shipboard-carbon-capture-at-scale/,"The Global Centre for Maritime Decarbonisation (GCMD), the Oil and Gas Climate Initiative (OGCI) and Stena Bulk today initiated the first stage of a two-year, three-phase project to demonstrate shipboard carbon capture at scale.
Together with Alfa Laval, the American Bureau of Shipping, Deltamarin and TNO, the consortium will investigate onboard capture and storage, as well as offloading of captured carbon dioxide (CO2) to address the challenges and opportunities of deploying carbon capture technology on ships.
Project REMARCCABLE (Realising Maritime Carbon Capture to demonstrate the Ability to Lower Emissions) is the world’s first project aimed to demonstrate end-to-end shipboard carbon capture at scale.
While carbon capture technologies have been successfully used by OGCI’s member companies to reduce CO2 emissions from power plants and industrial operations, their use in the shipping industry is still in development.
In the largest project of its kind, targeting at least 30% absolute CO2 capture, or approximately 1000 kg/hr of capture, the seven-member consortium will build and test a marine carbon capture system onboard a Stena Bulk medium range (MR) tanker to assess the operational challenges of running such a system on a ship at sea.
Project REMARCCABLE will use non-proprietary equipment and processes, so results can be shared broadly and publicly to maximise learning and encourage further technology development. The project also aims to establish a pathway to reduce the cost of CO2 capture to 150 €/tCO2 or lower to allow the technology to be commercially deployed in future.
The initial demonstration will involve over 500 hours of capture of the exhaust from burning high-sulphur fuel oil (HSFO) or very-low sulphur fuel oil (VLSFO) and will include offloading(s) of captured and liquefied CO2 (LCO2) at ports along the route of a 10-day deep-sea voyage. Following a successful test phase, Stena Bulk will retain the carbon capture system onboard and extend its use beyond this pilot.
Professor Lynn Loo, CEO of the Global Centre for Maritime Decarbonisation, said: “GCMD views shipboard carbon capture as one of the mid-term solutions needed to help the maritime sector to decarbonise. The open sourcing of project REMARCCABLE, piloting under real-world conditions and delivering end-to-end solutions, is in line with GCMD’s goals of lowering the barriers for adoption so international shipping can meet or exceed the International Maritime Organization’s) GHG emissions reduction targets for 2030 and 2050.”"
How to balance trade-offs when decarbonising the shipping industry,"September 2, 2022",https://splash247.com/how-to-balance-trade-offs-when-decarbonising-the-shipping-industry/,"Christiaan De Beukelaer, a researcher at the University of Melbourne, on the tricky tightrope the industry must cross in its green pursuit. Christiaan’s book, Trade Winds: A Voyage to a Sustainable Future for Shipping, comes out in January.
The need to decarbonise the shipping industry is now abundantly clear. The path towards zero emissions less so. No silver bullet technology or fuel currently exists that can substitute for fossil fuels. The pathway to decarbonise the industry, which currently burns some 300 million tonnes of fossil fuels a year, thus lies in finding a balance between different approaches. The need to decide on the trade-offs this requires was, at face value, the key message of the inaugural Summer Institute on Maritime Decarbonisation at the World Maritime University in Malmö, which took place last month.
The question of trade-offs is what I wish to explore here, by adding some elements into the equation that never quite made it to the syllabus at the World Maritime University. Their summer institute focused primarily on lowering the energy intensity of ships and on the carbon intensity of fuels. Simply put, WMU academics focused mostly on the technical measures that can help shipping become more efficient, with some mention of operational measures and the regulatory environment. This focus is crucial, albeit insufficient.
In terms of ship design, reducing resistance and improving propulsion efficiency can help lower the energy intensity of ship operations. Though the gains of most of these interventions are relatively small, they can help slow emissions growth (relative decoupling). Indeed, despite commitments to the contrary, shipping emissions decreased by 1% during the first year of the pandemic (mostly thanks to an 8.8% drop during the first half of the year – and rebounded by 4.9% in 2021.
The most promising technological improvement to ships is to harness the wind aboard ships for direct (assistance with) propulsion. Retrofitting existing (and designing new) ships to embrace the millennia-old technology that never required burning fossil fuels should a top priority. Today, there is a variety of wind propulsion and assist technologies that have proven their economic and environmental worth and can be – and are – deployed easily.
Even when the potential of wind propulsion and marginal gains from reducing hull resistance and propulsion efficiency is fully exhausted, some mechanical propulsion will be needed for almost all ships. This means that zero-emissions fuels are needed.
The perfect fuel “zero emission” doesn’t quite exist, as the alternatives to fossil fuels come with trade-offs of their own. First, the amount of renewable electricity needed to generate enough power to propel all ships equals that of all the renewable energy currently generated in the world. Secondly, it is not enough to change what happen aboard ships: The necessary shore-based infrastructure for the production, storage, and delivery of alternative fuels amounts to nearly nine-tenths of the more than one trillion dollars needed to meet IMO’s existing targets. Third, a detailed analysis of the environmental cost (beyond carbon emissions) of any alternative fuel (and its production process and the materials needed for this) is needed to ensure the energy transition solves, rather than shifts, the problem. Fourth, any leakage of alternative fuels would cause great environmental harm; ammonia is highly toxic and would burn the lungs of humans and other animals, while hydrogen is a far more potent greenhouse gas than carbon dioxide, making the environmental risk of slippage potentially disastrous. (I’m not even going into the risk of methane slippage from LNG, as this fossil fuel has no place in the energy transition – despite the current order book suggesting that many shipping executives think otherwise.)
In short, there really isn’t a silver bullet that will allow us to tackle the climate crisis by simply swapping one fuel for another. This is roughly as far as WMU’s Summer Institute on Maritime Decarbonisation went. To their credit, they covered an awful lot in a succinct manner. Though I was left with a big open question: Can more ambitious regulation speed up the transition?
The challenge the industry faces is far larger than the initial IMO target from 2018 might suggest. A 50% reduction in emissions by 2050 on a 2008 baseline brings them back to 1990 levels. That won’t do; they need to be reduced to zero well before 2050. The shipping industry’s remaining share of the global carbon budget to have a 66% chance of keeping warming below 1.5˚C was roughly 4.2-6.8 Gt in 2020. At current emissions levels of roughly one billion tonnes of CO2 a year, that leaves us with less than five years of business as usual.
So, what options do we have to deal with this enormous challenge?
The first thing is to push for far higher levels of ambition at the IMO. Targeting a 90% cut in emissions by 2040 would be a great start. Setting the bar any lower may mean that shipping companies do not feel sufficient pressure to invest now and use every possible technological and operational tool currently available.
The second thing is to embrace all the options currently available to curb fuel use immediately, by as much as possible. While this will obviously reduce total emissions from the industry, it will also stretch the very limited remaining carbon budget to give us a fighting chance at keeping warming below 1.5˚C. Even if that target is becoming more elusive by the day, every action that brings emissions down helps. And so does every tenth of a degree of warming we can avoid. This requires embracing slow steaming and wind propulsion – combined with any possible further gains to efficiency.
The less fossil fuel we need today, the less alternative fuel we’ll need in the future. More efficient ships will remain more efficient whether they run on HFO, VLSFO, Green Hydrogen, or Green Ammonia. The greenest fuel is the fuel we don’t use.
Efficiency wasn’t the elephant in the room during the Summer Institute. Indeed, wind propulsion, slow steaming, and the challenges inherent to “green” fuels were discussed at length. The significant thing that wasn’t? Money. The transition will cost money. A lot of it. But that won’t just increase costs for shipping companies, ship operators, cargo owners, and crews. It will also affect the end users of the cargos transported.
That is where the crux of the challenge lies: How can we ensure that balancing the trade-offs between technological innovation, operational measures, and rethinking supply chains doesn’t mean that people in “developing” countries face higher prices for cargo transport. If we can’t ensure a “just and equitable transition” that guarantees they won’t pay even more than they already do now, they might be hard-pressed to agree on greater ambition at the IMO. Without the support of these developing countries (which commonly pay more than rich countries for shipping, as UNCTAD continues to document), the revision of its “initial strategy” risks becoming too weak to push for a rapid transition. If that happens, we’ll all lose."
Bunker pricing volatility here to stay,"August 31, 2022",https://splash247.com/bunker-pricing-volatility-here-to-stay/,"Bunker prices, which have come off the boil in a big way over the past three months, are widely tipped to show considerable volatility in the months ahead with analysts divided on whether the slide will continue or not.
Singapore VLSFO prices have dropped by $250 per ton over the past month alone, leaving the days of $1,000+ behind.
Bunker prices tend to rise and fall with the crude oil market. November Brent is hovering around $101 and Singapore VLSFO around $785.
In the long term,...
 "
More crude tankers being taken on long-term charter,"August 16, 2022",https://splash247.com/more-crude-tankers-being-taken-on-long-term-charter/,"More and more crude tankers are being tied up on healthy three-year charters, a further sign of a strengthening market.
Brokers Braemar note in a new report that all sizes of crude tankers are now being sought on the period side. Moreover, with the price differential between HSFO and VLSFO fuels dropping, demand for non-scrubber ships is picking up.
Clarksons noted last week that average spot earnings for non-scrubber fitted VLCCs increased by 49% week-on-week to $23,307 a day, the highest level since September 2020, as position lists thinned, particularly in the west.
A five-year deal for a scrubber-fitted VLCC in the high $30,000s has been reported while business for suezmaxes is more brisk with younger eco ships getting $32,000 a day for three-year charters and aframaxes also performing similarly strong.
“There is faith in the market for the balance of the year and into 2023,” Braemar noted.
Splash has reported repeatedly on the firming tanker fundamentals in recent weeks with asset values on the rise.
Joakim Hannisdahl, who oversees the Cleaves Shipping Fund, wrote earlier this month of the start of the long-awaited cyclical expansion in oil tankers.
“We now see a dual positive effect on tanker demand due to implications from the invasion [of Ukraine] and from a general improvement in global oil supply,” Hannisdahl wrote, going on to discuss the very low orderbook.
The increase in willingness to take tankers for longer periods was picked up by Lars Barstad, the CEO of Frontline today.
It's quite a definitive sign of tides turning when the big boyz (Traders, Oilco's and NOC's) are there to pay significantly up for 3 year commitments. $FRO, #OTT , #tankers pic.twitter.com/iQt88rY4ah
"
Case made for global rollout of mass flow meters,"August 12, 2022",https://splash247.com/case-made-for-global-rollout-of-mass-flow-meters/,"A leading name in the bunkering industry has called for the global adoption of mass flow meters to improve transparency and quality in one of the most dubious areas of shipping.
“Despite the bunkering industry’s scale and the essential role it plays in supporting global maritime trade, much of it is still steeped in old-fashioned, outmoded operational practices. There is a continuing lack of transparency in the way marine fuel is delivered. This has to change,” argued Kenneth Dam, global head of bunkering at TFG Marine, in a post on the company’s website. TFG Marine is a joint venture between Trafigura and John Fredriksen founded two years ago. Dam urged other leading bunkering hubs to follow the lead of Singapore and get mass flow meters installed as soon as possible.
Precise mass flow measurement provides greater integrity through certified calibration and tamper-proof seals. Mass flow meters make use of the Coriolis effect to allow the flow of fluids and gases to be measured with a high degree of precision. When fitted to ships, mass flow meters produce computerised records of exact volumes delivered in real time. Both counter-parties have access to the same data.
The industry-wide average for mass flow meter adoption is less than 1%
Dam suggested there is an “inherent ambiguity” in the way bunker fuel has traditionally been delivered.
Marine fuels are supplied around the globe at different densities and in diverse atmospheric and climatic conditions. These variables have a significant impact on the quality and quantity of the bunker fuel supplied.
“Traditional delivery systems, which only monitor volume flow, cannot capture these differentials with any precision,” Dam pointed out. Suppliers and customers therefore rely on manual measurement and adjustment formulae to agree the specifications for every transaction.
“The complexity and opacity of this process makes it difficult to track and report transactions with confidence and accuracy,” Dam said, adding that it also leaves customers vulnerable to fraud and corruption.
Supplier malpractice takes many forms. It can include delivering fuel with high water, slops or air content, providing incorrect fuel temperatures or tampering with gauging, delivery equipment or paperwork to skew delivery data.
A recent Blue Insight study assessed bunker deliveries at Rotterdam and Fujairah, the world’s second and third largest bunkering ports. It concluded that reported VLSFO bunker volumes at these two locations resulted in $250m in operating losses for suppliers across 2021 with bunker buyers being severely short-changed on volumes.
Over a third of the TFG Marine fleet already has mass flow meter technology with more of its barges set to be mass flow meter-equipped over the next two years. That compares with an industry-wide average for mass flow meter adoption of less than 1%, according to Dam.
TFG Marine, which wants mass flow metes to be made mandatory globally, has joined with 50 other industry participants representing 2,000 vessels to appeal to the Rotterdam and the Antwerp port authorities to follow Singapore’s lead and introduce mandatory mass flow meter delivery in their jurisdictions.
The bunkering industry provides over 200m metric tonnes of marine fuel annually, a market that was worth $110bn globally in 2020 and is projected to reach $165bn by 2030."
Prax adds to bunker tanker fleet,"August 9, 2022",https://splash247.com/prax-adds-to-bunker-tanker-fleet/,"UK oil refiner Prax Group is expanding its bunkering fleet with the acquisition of the 2020-built product tanker 
			Fortuna II. 
The 1,700 dwt Turkish-built vessel joins the company’s Harvest Energy Marine unit and follows on from the 2007-built Fortuna I, announced in January this year, which operates between Prax Lindsey Oil Refinery in Immingham, in the northeast of the UK, and Prax Terminals Belgium, in the port of Zeebrugge.
The 68 m long Fortuna II can carry very low sulphur fuel oil (VLSFO) and marine gas oil, and is able to supply bunkering services in ports right along the UK coast and in northwestern Europe.
“We are firmly committed to continuing to build a robust and reliable supply chain to meet the ever-changing needs of our customers right across the UK and northwestern Europe, in order to deliver innovative solutions to reduce refueling times at a competitive price, whilst simultaneously providing our customers with their most important resource,” said Geert Boden, general manager of Harvest Energy Marine.
No price was given for the vessel formerly known as Pasha 4, but VesselsValue assessed the ship as worth $9.9m."
LNG bunker prices near record high,"August 8, 2022",https://splash247.com/lng-bunker-prices-near-record-high/,"Oil prices dropped 10% last week to levels not seen since Russia invaded Ukraine in February. In the bunker markets, this has been reflected by an ever greater margin in pricing between traditional fuels and LNG with the latter now on course to hit record highs soon, with many of today’s LNG dual-fuelled ships deciding not to take on gas.
For LNG bunkers in Rotterdam priced by Ship & Bunker on an energy equivalency of one metric ton of IFO380 bunkers, meaning HSFO, prices are currently hovering at $2,621 per ton, threatening to eclipse former records of $2,673 per ton set this March.
LNG bunker sales in Rotterdam plunged 43% lower in Q2 to just 63,000 cu m. Sales of the gas fuel had been on a steady rise for years through to the start of this year when the pricing gap with conventional fuels made them uneconomic.
Despite the drop recorded in Rotterdam, Europe’s top bunkering hub, LNG bunker sales globally have been ticking up in recent months, according to online platform BunkerEx.
“What has surprised us is the number of suppliers seems to be increasing too, which is a key component to make LNG truly competitive with other fuels,” Ishaan Hemnani, BunkerEx’s CEO, told Splash today.
“We are seeing a little more demand, but that’s probably just the market building out or people expecting the spread to get even worse come winter,” Hemnani added.
Latest data from shipping classification society DNV suggests that the global LNG-fuelled fleet has expanded by nearly 60% over the past two years, with 304 vessels now in operation.
Around 4.5% of the global fleet by tonnage – or 1% of ships by numbers – is alternative fuel capable, mostly LNG, according to Clarksons Research.
Clear figures on how many of these 300+ dual-fuelled ships are using LNG today remains opaque.
A spokesperson from Integr8 Fuels’ research department commented: “Most owners of dual-fuel tonnage buying on the spot market are likely purchasing VLSFO/LSMGO as indeed the differential is not in favour of LNG. Some of these would still bunker LNG as a one-off for marketing purposes and we’ve seen a few press releases about it recently. Some would probably have some kind of take or pay contracts that tie them up to buying it anyways while others will be lifting in US where LNG bunkers are more competitive, particularly compared with LSMGO.”
The majority of dual-fuel owners will have switched to conventional fuels given the price gap, the spokesperson stressed.
“Being alternative fuel capable or ready is nothing but an expensive, non-committal greenwashing exercise as long as everyone with dual-fuel engines burns fuel oil anyway,” argued Roar Adland, shipping professor at the Norwegian School of Economics, in a widely read recent post on LinkedIn."
Tankers benefit from refining margins,"July 27, 2022",https://splash247.com/tankers-benefit-from-refining-margins/,"Oil prices have fallen throughout July but retail fuel prices have not, giving refiners a much-needed boost to their profit margins. By July 22, WTI was below $95 a barrel while Brent closed at $98.75 – still $20 higher than it was before the Russians invaded Ukraine. US refining margins have increased from lows of $2.5 per barrel in Q220 to around $17.5 per barrel in Q322. US refinery utilisation is running at over 90% to meet strong summer demand at record crack spreads due to lower crude oil...
 "
Global drop-in biofuels pilot project launches,"July 26, 2022",https://splash247.com/global-drop-in-biofuels-pilot-project-launches/,"The Global Centre for Maritime Decarbonisation (GCMD) is leading a consortium of 18 industry partners to launch a drop-in biofuels pilot project with a combined contribution of $18m in cash and in-kind to establish an assurance framework for ensuring the supply chain integrity of current and future green marine fuels.
On the launch of this pilot project Professor Lynn Loo, CEO of GCMD, said: “GCMD is leading this route-based pilot to help align stakeholders in the supply chain for the adoption of biofuels. By facilitating and creating an optimised drop-in green fuels supply chain, this pilot will help to shape national and international standards of biofuels bunkering and lower the barrier for their wider adoption to reduce greenhouse gas (GHG) emissions from a lifecycle perspective. In curating and executing this first-of-its-kind drop-in biofuels pilot, GCMD is positioned to address stakeholder pain points in the complexities of the supply chain of green marine fuels in a meaningful way.”
To meet the International Maritime Organisation’s (IMO) 2030 and 2050 decarbonisation targets, shipowners as well as cargo owners and charterers are exploring the purchase and use of green fuels.
Biofuels can be a near-term measure to reduce GHG emissions as they are available today, and they can be deployed in the same way as marine fuels with minimal changes to the existing distribution infrastructure, shipboard technologies, and operational norms of ships. However, there is no industry-wide assurance framework that addresses concerns on the quantity, quality and GHG emissions abatement of biofuels, nor one that safeguards their premium and value. To address this gap, the GCMD-led pilot aims to establish an assurance framework that ensures supply chain transparency of drop-in biofuels, whose applicability can be extended to future drop-in fuels, such as bio-LNG, bio- methanol and green ammonia, when they become available in meaningful quantities.
Recent IMO decisions to eliminate the need to apply for waivers for using fuel blends with up to 30% biofuels (B30) for propulsion, and to allow the use of B30 in accordance with MARPOL Annex VI, have lowered regulatory hurdles for adopting biofuels. To this end, the assurance framework that will be the outcome of this pilot will increase stakeholder confidence in the full value of the premium paid for such green fuels, and further lower the barrier to wider adoption of biofuels in the maritime industry by addressing concerns on the integrity of the biofuels supply chain.
The vessels in this pilot are all equipped with MAN ES’s two-stroke engines.
GCMD is undertaking a bottom-up approach by convening like-minded partners across the maritime industry to participate in this pilot. Altogether, the shipowners, charterers and operators participating in this pilot project represent approximately 2,300 vessels across the container, tanker and bulker segments. With 12 vessels bunkering at three ports across three continents, the learnings from these route-based pilots will support the green corridors framework that was put forth by the Clydebank Declaration at COP26 in November last year, of which 24 states are signatories including Singapore, the Netherlands and the US where bunkering ports for this pilot project reside.
A first-of-its-kind in extent and complexity, the pilot aims to optimise the entire supply chain of bunker fuels by building on the learnings of past shipboard trials involving biofuels. Designed through the lens of the shipowner, piloting will start with fuel blends involving existing biofuels, such as hydrotreated vegetable oil (HVO) and fatty acid methyl esters (FAME) blended with either very low sulphur fuel oil (VLSFO), high-sulphur fuel oil (HSFO) or marine gas oil (MGO) in blends up to 30% biofuels (B30).
Using BunkerTrace’s digital and synthetic DNA tracing products to track marine fuels from production to vessel propulsion, the pilot will validate the authenticity of sustainable biofuels through molecular verification tests conducted on fuel samples that are collected at numerous identified points along the supply chain. Hence, the pilot will address traceability of drop-in biofuels from production, distribution, transportation, storage, and bunkering to shipboard application, providing end-to-end supply chain transparency.
Testing these fuel blends across the container, tanker and bulker segments travelling on fixed and tramp routes and bunkering at the ports of Singapore, Rotterdam, and Houston under business-as-usual conditions will demonstrate the compatibility and stability of these biofuels in actual operating environments.
In an effort to further accelerate biofuels adoption as a near-term measure to reduce GHG emissions, GCMD will be leveraging this project to be the first in trialling and assessing the use of crude algae oil (CAO) as a marine fuel. CAO is a third-generation biofuel that promises substantially reduced carbon footprint, but unlike HVO and FAME, its utility has not been tested nor its supply chain established.
The overall pilot will commence on August 1, and is expected to take 12 to 18 months to complete."
Challenging conventional thinking on implementing clean tech,"July 18, 2022",https://splash247.com/challenging-conventional-thinking-on-implementing-clean-tech/,"There isn’t time to install clean technologies one at a time, and it doesn’t make sense to do so, argues Tuomas Riski, the CEO of Norsepower.
The maritime industry’s clean technology market has often been characterised by investments in a single technology with the value of the purchase being largely based on its promised payback period. It’s a mindset that has worked well enough in the past when there were limited options and cost reductions were the single focus of an initiative.
That’s not to say that stemming rising fuel costs isn’t an issue – quite the opposite. We’ve recently seen the price of VLSFO again exceed $1,000 per tonne but cutting fuel costs is not the only form of payback to consider when emissions regulations are tightening, sometimes on an annual basis. We also need to plan for high-priced new fuels, carbon taxes, port incentives, charterer requirements, new IMO regulation, and cargo owner demands for decarbonisation.
But, as Gavin Allwright, secretary of the International Windship Association, said recently: plug in ship efficiency measures, digitalisation, and other investments that can be delivered in the short-term make the future look much brighter.
A 360-degree view is needed to combine new technologies as favourably as possible, because the greatest fuel and emissions savings are actually the combined result of operational strategy, optimised design and clean technologies.
For example, the crew of roro SC Connector decided to take the wind forecast into account when planning routes, and in doing so they have been able to use Norsepower’s Rotor Sails to save 4.6 tonnes of fuel and 14 tonnes of CO2 emissions during a single voyage from Rotterdam to Tananger, Norway. The vessel achieves an average reduction of fuel consumption, fuel cost and carbon emissions of up to 25%, and the two Rotor Sails have generated a maximum thrust force equivalent of 8 MW propeller shaft power.
In addition to rotor sails, the ship has been fitted with a battery container, which balances peaks of electricity demand when accelerating the Rotor Sails. So, our installation on the SC Connector actually involves multiple clean technologies – working together to achieve optimal performance.
This is just one example. Combining rotor sails with technologies such as optimised propeller technologies, power management systems, hull and energy optimisation, propulsion drive train products, power take off and take in (PTO/PTI) systems, and energy storage systems can deliver tangible value and economies of scale.
However, there are challenges holding the industry back from taking a 360-degree view of combining innovation onboard. The clean technology installation process needs simplifying at each stage, including for planning dry-dock installations or during builds.
Globally, shipyards are currently inundated with projects and technology installations and ship builds are consistently delayed. Shipowners and fleet operators should be able to obtain instant quotes for integrated retrofit works, have real-time visibility of shipyard availability and easily access and schedule dry dock slots.
Relationships and collaboration between technology providers and shipyards are also essential so shipowners and managers can access the technology needed to make impactful savings and install the technology combination which is most suited to their vessel’s profile.
It’s not just external barriers that need to be overcome. Breaking siloed thinking around operational performance and data use within shipping companies will ultimately result in more joined up strategic thinking that will filter down and drive implementation.
For changes to come to fruition, shipping’s commercial dynamics must also re-adjust. In addition to financiers recognising that payback algorithms are becoming antiquated, outdated charter party agreements also need updating. Building greater understanding amongst charterers about the value of incentivising the use of clean technology onboard vessels and ‘rewarding’ innovative operators by guaranteeing longer term charter party agreements at attractive rates will go far to help solve the all-too-familiar split incentive conflict. Anomalies such as ‘rush to wait’ charter party clauses that are counter-intuitive to optimising voyages and decarbonisation should be relegated to the past as part of this progressive and collaborative spirit.
Taking this more holistic approach means we rewrite the rule book, whether it is commercial agreements between shippers, defining new payback structures with financiers or exploring co-operative arrangements between tech firms. We see a gradual willingness across the industry to invoke these changes but real impact will only happen when we scale up, and speed up the process."
June 2022 Review,"June 29, 2022",https://splash247.com/june-2022-review/,"The European Union Parliament voted last week in favour of extending its carbon market (ETS) to shipping and road transport. The parliament agreed to include all ships above 400 gt and offshore vessels in the EU’s carbon market. Polluters will have to pay for CO2, methane and nitrous oxide emissions when sailing within the EU and 50% of voyages outside of the bloc until 2027.
US politicians dialled up the rhetoric against global liners this month. President Joe Biden signed into law th...
 "
Rio Tinto and BP launch one-year biofuel trials,"May 23, 2022",https://splash247.com/rio-tinto-and-bp-launch-one-year-biofuel-trials/,"Mining giant Rio Tinto will be working with BP on a one-year biofuel trial to help reduce carbon emissions from its fleet. Under the deal, BP will be supplying biofuel for Rio Tinto’s 2013-built capesize bulker 
			RTM Tasman on a mix of Transatlantic and Atlantic-Pacific routes, in what is said to be one of the longest-duration marine biofuel trials to date. 
The extended trial agreement follows a journey on the RTM Tasman after it refuelled with biofuel in Rotterdam in March 2022 for the first time and then picked up its first load of the trial at the iron ore company of Canada’s Sept-Îles port in Quebec in April. All biofuel refuelling during the trial will be at Rotterdam. The trial is using a BP-manufactured B30 biofuel blend composed of 30% fatty acid methyl esters (FAME) blended with very low sulphur fuel oil (VLSFO). This B30 biofuel blend is said to reduce lifecycle carbon dioxide emissions by up to 26% compared to standard marine fuel oil. 
Working with BP and the ship managers, Anglo Eastern, the trial will analyse a series of engine and fuel performance factors, including engine efficiency and fuel consumption, corrosion and degradation, microbial growth, temperature impact, fuel switching impacts and fuel stability. 
Rio Tinto has set an ambition to reach net-zero emissions from shipping its products to customers by 2050 and to introduce net-zero carbon vessels into its portfolio by 2030. According to its head of commercial operations, Laure Baratgin, sustainable biofuels have the potential to be an important transition fuel on the way to net-zero marine emissions, and a longer-duration trial should provide important information on their potential role and wide-scale use.


"
Gibsons argues Baltic Exchange VLCC benchmark is no longer relevant,"May 16, 2022",https://splash247.com/gibsons-argues-baltic-exchange-vlcc-benchmark-is-no-longer-relevant/,"UK shipbroker Gibsons has argued that the Baltic Exchange’s VLCC benchmark is in need of an urgent update to better reflect the makeup of today’s supertanker fleet.
Spot VLCC earnings were in the negative territory for most of last year, with the key benchmark TD3C averaging minus $250 a day on a slow steaming, non-scrubber, non-eco basis. So far this year, returns have been equally disappointing, only creeping up to zero last month.
With benchmark earnings so low for so long, some tanker analysts have wondered why the sector has not seen meaningful increases in demolition activity.
In part, an answer to this lies in a high uptake of the scrubber technology in the VLCC sector, Gibsons suggested in its latest weekly report. According to Gibson’s database, around 42% of existing VLCCs have been fitted with exhaust gas cleaning technology, with a standard scrubber-fitted 10-year-old tanker earning on average just over $6,000 a day more than a similar non-scrubber vessel last year. The scrubber premium has increased in 2022, in line with increases in bunker prices and the widening gap between HSFO and VLSFO prices. So far this year, scrubber-equipped VLCCs have earned around $11,000 a day more on the spot market, a premium over a non-scrubber tanker wide enough to cover opex.
Apart from scrubber equipped VLCCs, another 11% of internationally traded VLCCs are built in 2015 or later, meaning that those vessels are likely to be of an eco design, hence being able to generate higher returns due to lower bunker consumption. Furthermore, there are also quite a few non-scrubber fitted tankers, mainly around 20 years of age, trading sanctioned Iranian and/or Venezuelan barrels. These vessels account for 11% of the existing VLCC supply and operate outside the international market, at a notable premium compared to mainstream industry earnings.
“Evidently the majority of the VLCCs trading on the spot market are capable of generating higher returns than the benchmark Baltic Exchange VLCC description,” Gibsons observed.
Furthermore, with more newbuilding VLCCs to be delivered and some ships yet to retrofit, going forward the trading fleet will increasingly become eco and/or scrubber fitted.
“So, this begs the question, is it now time to assess benchmark VLCC earnings on a different basis?” analysts at Gibsons mused."
